"strain","orthofinder_orthogroup","sample","raw_count"
"Halomonas","OG0000293","D55MPa1",57
"Halomonas","OG0000295","D55MPa1",969
"Halomonas","OG0000297","D55MPa1",219
"Halomonas","OG0000298","D55MPa1",8400
"Halomonas","OG0000299","D55MPa1",746
"Halomonas","OG0000300","D55MPa1",6294
"Halomonas","OG0000301","D55MPa1",1251
"Halomonas","OG0000302","D55MPa1",1693
"Halomonas","OG0000303","D55MPa1",1268
"Halomonas","OG0000306","D55MPa1",1131
"Halomonas","OG0000307","D55MPa1",668
"Halomonas","OG0000308","D55MPa1",8
"Halomonas","OG0000309","D55MPa1",173
"Halomonas","OG0000310","D55MPa1",995
"Halomonas","OG0000311","D55MPa1",4740
"Halomonas","OG0000312","D55MPa1",335
"Halomonas","OG0000314","D55MPa1",1105
"Halomonas","OG0000315","D55MPa1",458
"Halomonas","OG0000316","D55MPa1",1300
"Halomonas","OG0000317","D55MPa1",36
"Halomonas","OG0000318","D55MPa1",913
"Halomonas","OG0000319","D55MPa1",370
"Halomonas","OG0000320","D55MPa1",284
"Halomonas","OG0000321","D55MPa1",6942
"Halomonas","OG0000322","D55MPa1",916
"Halomonas","OG0000323","D55MPa1",651
"Halomonas","OG0000324","D55MPa1",1680
"Halomonas","OG0000326","D55MPa1",536
"Halomonas","OG0000328","D55MPa1",225
"Halomonas","OG0000329","D55MPa1",38198
"Halomonas","OG0000330","D55MPa1",95
"Halomonas","OG0000331","D55MPa1",1676
"Halomonas","OG0000332","D55MPa1",89
"Halomonas","OG0000333","D55MPa1",720
"Halomonas","OG0000337","D55MPa1",241
"Halomonas","OG0000338","D55MPa1",860
"Halomonas","OG0000339","D55MPa1",1288
"Halomonas","OG0000340","D55MPa1",706
"Halomonas","OG0000341","D55MPa1",40867
"Halomonas","OG0000342","D55MPa1",1496
"Halomonas","OG0000343","D55MPa1",404
"Halomonas","OG0000344","D55MPa1",315
"Halomonas","OG0000345","D55MPa1",29
"Halomonas","OG0000346","D55MPa1",3369
"Halomonas","OG0000347","D55MPa1",1905
