contrast,orthofinder_orthogroup,member_strains,n_member_strains,Halomonas_present,Psychrobacter_present,Aequorivita_present,Sphingopyxis_present,Halomonas_direction,Psychrobacter_direction,Aequorivita_direction,Sphingopyxis_direction
D55_vs_D0,OG0000569,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0000570,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000571,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000574,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
D55_vs_D0,OG0000578,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0000581,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000582,Halomonas;Aequorivita,2,True,False,True,False,up,,down,
D55_vs_D0,OG0000583,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000587,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000589,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000590,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000591,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000592,Halomonas;Aequorivita,2,True,False,True,False,up,,down,
D55_vs_D0,OG0000597,Halomonas;Aequorivita,2,True,False,True,False,up,,up,
D55_vs_D0,OG0000598,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000599,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000601,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000603,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0000604,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000605,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000608,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000610,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000611,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000612,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000613,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000614,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000615,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0000616,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000621,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000622,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000623,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000624,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000625,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000626,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000627,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000629,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000632,Halomonas;Aequorivita,2,True,False,True,False,up,,up,
D55_vs_D0,OG0000635,Halomonas;Aequorivita,2,True,False,True,False,down,,down,
D55_vs_D0,OG0000637,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000641,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000642,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000643,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000644,Halomonas;Psychrobacter;Aequorivita,3,True,True,True,False,up,down,down,
D55_vs_D0,OG0000645,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000647,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0000648,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000651,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000654,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000655,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000657,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000661,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000662,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000663,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,up,up,,up
D55_vs_D0,OG0000665,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000666,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000670,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000674,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000675,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000676,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000679,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000681,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000685,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,down,,up,up
D55_vs_D0,OG0000686,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,down,,up,up
D55_vs_D0,OG0000687,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000688,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000693,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000694,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0000696,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000699,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000700,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000702,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000704,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
