panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logCPM,logFC,FDR,ma_class_from_code
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000109,suhB,7.86203272024421,0.120178035024497,0.365743523950847,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000110,ilvB,7.96236390970994,0.0620275197999063,0.766556637964584,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000111,sadA,9.95378739480947,1.0174316840999,0.0019622027856742,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000112,fhuB,6.10236577315882,0.478364416869633,0.0232020316291244,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000113,gltX,9.38897957754832,-0.762470440801339,3.23412545566421e-05,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000114,acrB,11.6465544973465,0.0719784323433173,0.835316011264727,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000115,merT,6.95005144705275,0.0211992878771552,0.963397847520508,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000116,mmcO,9.01894306134059,0.331931708798079,0.290319434424438,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000118,tlyC,7.24584812435347,0.167430564472016,0.477176280572861,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000119,dsbD,8.81599544874947,0.146356610393084,0.436617657098417,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000120,npd,9.01129408153214,0.169592363340388,0.439385533948226,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000121,ubiB,13.4498312888614,-0.486719682281628,0.0335109610317246,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000122,gene3132,8.90871969221638,0.358511507283612,0.0295011067989479,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000139,vexE,7.92981720664267,0.787757432775936,0.0062381015318373,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000140,acrA,10.0421940612637,0.0481970955278374,0.815053586426873,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000141,xerC,4.53067407558179,0.104311371923542,0.751875048364941,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000142,copA,7.11459326522787,-0.48083275692498,0.302914280200203,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000144,slpA,5.90800085625094,1.08240767804538,0.0007381806849435,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000145,ppiB,5.58093170431395,0.236021008821718,0.326651536610554,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000146,arsR,5.21299791232612,0.0328816801384509,0.923675070061145,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000147,mutT,2.86482124080227,0.943606546988189,0.0879424860172686,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000148,fepC,8.45297274609754,-0.0829709991008084,0.737678408336861,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000149,qrcC,13.6543682770862,-0.685230112726292,0.0066660134912488,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000150,XCC2717,5.61958770167312,-0.359233779324181,0.0346272622460597,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000151,alsT,9.83587563582411,-0.0271287025090826,0.870058339804288,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000152,rfbE,10.9795977667693,0.223371101720098,0.101002682989312,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000153,lexA,3.82677312628905,0.122801230507259,0.715942193863299,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000154,pqqL,7.97026326024298,0.214541930685733,0.169550319421569,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000155,prkC,12.6802268539239,-0.327008133280959,0.115187401106788,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000156,gene0658,11.1047776167352,0.528528083060566,0.0094487374344675,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000157,ybbN,9.28767913477111,0.189979072131072,0.251976755761415,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000158,algR,6.62724236460264,0.669281274613337,0.0002019978310548,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000159,dedA,6.53511374146563,0.0966589088020687,0.642905406988896,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000160,acs,9.86966518530018,-0.117824616604031,0.478646999367346,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000161,sdcS_2,5.58609181118564,2.39438167806452,4.47788046639711e-05,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000162,ydiJ,7.60222097259596,-0.0418992658532701,0.784126398093979,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000163,gltP,8.14799007995139,-0.815861376155049,7.53809721247047e-05,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000164,hisC,5.19399715272045,1.33761201576664,0.0004806062461548,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000165,mrcB,9.71264413971335,-0.129237041664741,0.389499635537431,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000166,pecM,5.94852216539678,1.18025089336828,7.36127116935487e-06,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000167,hflK,7.50428324636079,0.0183893027929959,0.924932475105092,mid
