contrast	module	orthogroup_id	gene_label	display_gene_label	x	index_in_module	strain	point_class	status_raw	member_gene_count_in_strain	direction	plot_direction	logFC	pvalue	FDR	neg_log10_p	n_DEG_events	n_DEG_strains	DEG_strains	directions	strict_function_evidence	representative_product	ko_terms	pathway_ids	member_gene_symbols
D55_vs_B55	ROS removal	OG0001394	ahpF	ahpF	11.25	4	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: alkyl hydroperoxide reductase subunit F	K03387		ahpF
D55_vs_B55	ROS removal	OG0001394	ahpF	ahpF	11.25	4	Sphingopyxis	DEG	DEG	1	Up	Up	3.8223448915474	1.75532911424114e-15	2.86820777267003e-13	14.7556414438144	2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: alkyl hydroperoxide reductase subunit F	K03387		ahpF
D55_vs_B55	ROS removal	OG0001394	ahpF	ahpF	11.25	4	Aequorivita	Absent	Absent	0							2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: alkyl hydroperoxide reductase subunit F	K03387		ahpF
D55_vs_B55	ROS removal	OG0000834	katG	katG	12.25	5	Halomonas	DEG	DEG	1	Up	Up	4.14785228727149	8.53150678002907e-14	1.78735067041609e-11	13.0689742597514	2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03782	map00360;map00380;map00940;map00983;map01100;map01110	katG
D55_vs_B55	ROS removal	OG0000834	katG	katG	12.25	5	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03782	map00360;map00380;map00940;map00983;map01100;map01110	katG
D55_vs_B55	ROS removal	OG0000834	katG	katG	12.25	5	Sphingopyxis	DEG	DEG	1	Up	Up	3.05982276928993	4.22453114714667e-13	2.02524288774725e-11	12.3742214835204	2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03782	map00360;map00380;map00940;map00983;map01100;map01110	katG
D55_vs_B55	ROS removal	OG0000834	katG	katG	12.25	5	Aequorivita	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03782	map00360;map00380;map00940;map00983;map01100;map01110	katG
D55_vs_B55	ROS removal	OG0000341	prx	prx	13.25	6	Halomonas	DEG	DEG	2	Up	Up	2.34314549620374	4.73401199392082e-11	1.61922532690026e-09	10.3247706460928	2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: peroxiredoxin	K24158;K03386	map04214	prx;ahpC
D55_vs_B55	ROS removal	OG0000341	prx	prx	13.25	6	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: peroxiredoxin	K24158;K03386	map04214	prx;ahpC
D55_vs_B55	ROS removal	OG0000341	prx	prx	13.25	6	Sphingopyxis	DEG	DEG	1	Down	Down	-1.54349922018637	5.76787392733034e-11	1.21799557932685e-09	10.2389842408793	2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: peroxiredoxin	K24158;K03386	map04214	prx;ahpC
