contrast	strain	module	orthogroup_id	gene_label	direction	logFC	pvalue	FDR	n_DEG_strains_raw	strict_function_evidence	source_table	ko_terms	pathway_ids	pathway_names	representative_product	representative_Preferred_name	member_gene_symbols	member_products	n_DEG_strains	sharing	sharing_label
D55_vs_B55	Sphingopyxis	ROS removal	OG0000365	sodC	Up	1.46819600354892	4.6429569627511e-13	2.10738657698203e-11	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	Amyotrophic lateral sclerosis;Chemical carcinogenesis - reactive oxygen species;Huntington disease;Longevity regulating pathway - multiple species;Parkinson disease;Pathways of neurodegeneration - multiple diseases;Peroxisome;Prion disease	MULTISPECIES: superoxide dismutase family protein	sodC		MULTISPECIES: superoxide dismutase family protein;superoxide dismutase;Superoxide dismutase;superoxide dismutase family protein	3	shared	OG in >=2 strains
D55_vs_B55	Halomonas	ROS removal	OG0000624	ahpC	Up	4.42031754429126	1.86450715762476e-12	1.48805428389481e-10	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K24119			alkyl hydroperoxide reductase	ahpC	ahpC	MULTISPECIES: alkyl hydroperoxide reductase subunit C;alkyl hydroperoxide reductase;alkyl hydroperoxide reductase subunit C	3	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	ROS removal	OG0000624	ahpC	Up	2.15141380643973	1.3612679223123e-06	8.88104579379905e-06	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K24119			alkyl hydroperoxide reductase	ahpC	ahpC	MULTISPECIES: alkyl hydroperoxide reductase subunit C;alkyl hydroperoxide reductase;alkyl hydroperoxide reductase subunit C	3	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	ROS removal	OG0000624	ahpC	Up	2.48234100055401	2.4728633427885e-10	4.23208741272364e-09	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K24119			alkyl hydroperoxide reductase	ahpC	ahpC	MULTISPECIES: alkyl hydroperoxide reductase subunit C;alkyl hydroperoxide reductase;alkyl hydroperoxide reductase subunit C	3	shared	OG in >=2 strains
D55_vs_B55	Aequorivita	ROS removal	OG0000634	bcp	Up	1.96642031604837	3.34406278829102e-09	2.33712832648339e-07	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03564			MULTISPECIES: peroxiredoxin	bcp		MULTISPECIES: peroxiredoxin;thioredoxin-dependent thiol peroxidase;peroxiredoxin	2	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	ROS removal	OG0000634	bcp	Up	1.39853028523436	3.0545821277415e-08	3.73392119295121e-07	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03564			MULTISPECIES: peroxiredoxin	bcp		MULTISPECIES: peroxiredoxin;thioredoxin-dependent thiol peroxidase;peroxiredoxin	2	shared	OG in >=2 strains
D55_vs_B55	Halomonas	ROS removal	OG0000745	sodB	Up	2.58521611534377	3.26283515595298e-10	7.49111194709204e-09	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04564	map04013;map04068;map04146;map04211;map04212;map04213;map05016;map05208;map05417	Chemical carcinogenesis - reactive oxygen species;FoxO signaling pathway;Huntington disease;Lipid and atherosclerosis;Longevity regulating pathway;Longevity regulating pathway - multiple species;Longevity regulating pathway - worm;MAPK signaling pathway - fly;Peroxisome	MULTISPECIES: superoxide dismutase	sodB		MULTISPECIES: superoxide dismutase;superoxide dismutase	2	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	ROS removal	OG0000745	sodB	Down	-1.11879049767578	3.56793597675868e-08	3.51205264218295e-07	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04564	map04013;map04068;map04146;map04211;map04212;map04213;map05016;map05208;map05417	Chemical carcinogenesis - reactive oxygen species;FoxO signaling pathway;Huntington disease;Lipid and atherosclerosis;Longevity regulating pathway;Longevity regulating pathway - multiple species;Longevity regulating pathway - worm;MAPK signaling pathway - fly;Peroxisome	MULTISPECIES: superoxide dismutase	sodB		MULTISPECIES: superoxide dismutase;superoxide dismutase	2	shared	OG in >=2 strains
D55_vs_B55	Halomonas	ROS removal	OG0000834	katG	Up	4.14785228727149	8.53150678002907e-14	1.78735067041609e-11	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03782	map00360;map00380;map00940;map00983;map01100;map01110	Biosynthesis of secondary metabolites;Drug metabolism - other enzymes;Metabolic pathways;Phenylalanine metabolism;Phenylpropanoid biosynthesis;Tryptophan metabolism	catalase	katG	katG	catalase/peroxidase HPI;catalase	2	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	ROS removal	OG0000834	katG	Up	3.05982276928993	4.22453114714667e-13	2.02524288774725e-11	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03782	map00360;map00380;map00940;map00983;map01100;map01110	Biosynthesis of secondary metabolites;Drug metabolism - other enzymes;Metabolic pathways;Phenylalanine metabolism;Phenylpropanoid biosynthesis;Tryptophan metabolism	catalase	katG	katG	catalase/peroxidase HPI;catalase	2	shared	OG in >=2 strains
