orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0001464,Psychrobacter,D55_vs_D0,-1.10386914380897,0.0003752489091346,gene1098,hypothetical protein,,,,0.0003752489091346,1.10386914380897
OG0002081,Halomonas,D55_vs_D0,-1.83992298147857,0.0003881966460882,pilN,MULTISPECIES: PilN domain-containing protein,K02663,,N: Cell motility;U: Intracellular trafficking;secretion;and vesicular transport,0.0003881966460882,1.83992298147857
OG0001722,Halomonas,D55_vs_D0,-1.04730330020471,0.0003884869862205,flgJ,MULTISPECIES: flagellar assembly peptidoglycan hydrolase FlgJ,K02395,Flagellar assembly,M: Cell wall/membrane/envelope biogenesis;N: Cell motility;O: Posttranslational modification;protein turnover;chaperones;U: Intracellular trafficking;secretion;and vesicular transport,0.0003884869862205,1.04730330020471
OG0001139,Aequorivita,D55_vs_D0,1.34953508998337,0.0003941079223613,gene2534,2OG-Fe(II) oxygenase,K07394,,O: Posttranslational modification;protein turnover;chaperones,0.0003941079223613,1.34953508998337
OG0001810,Halomonas,D55_vs_B55,-1.07999862257612,0.0003975855097256,tcdA,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,K22132,,H: Coenzyme transport and metabolism,0.0003975855097256,1.07999862257612
OG0001054,Halomonas,D55_vs_B55,1.66198052855062,0.0003980428465466,dcm,DNA cytosine methyltransferase,K00558,Cysteine and methionine metabolism;Metabolic pathways;MicroRNAs in cancer,L: Replication;recombination and repair;H: Coenzyme transport and metabolism,0.0003980428465466,1.66198052855062
OG0000351,Halomonas,D55_vs_B55,1.02323732163279,0.0004326504442993,crcB,fluoride efflux transporter CrcB,K06199,,D: Cell cycle control;cell division;chromosome partitioning,0.0004326504442993,1.02323732163279
OG0001847,Halomonas,D55_vs_D0,-1.81056701029602,0.0004362627178256,relB,"MULTISPECIES: ribbon-helix-helix protein, CopG family",K18918,,K: Transcription,0.0004362627178256,1.81056701029602
OG0001210,Aequorivita,D55_vs_D0,1.08275699153595,0.0004365273862207,gene1865,MULTISPECIES: DUF192 domain-containing protein,K09005,,S: Function unknown,0.0004365273862207,1.08275699153595
OG0001461,Psychrobacter,D55_vs_B55,1.19733069589993,0.0004430617032253,mcr,CaiB/BaiF CoA-transferase family protein,K01796,Metabolic pathways;Microbial metabolism in diverse environments;Peroxisome;Primary bile acid biosynthesis;Steroid degradation,C: Energy production and conversion,0.0004430617032253,1.19733069589993
OG0000090,Aequorivita,D55_vs_D0,-1.50563289098399,0.0004462052104054,gene2353,hypothetical protein,,,,0.0004462052104054,1.50563289098399
OG0002060,Halomonas,D55_vs_D0,-3.43435948895918,0.000479508534091,gene2443,MULTISPECIES: DUF2788 domain-containing protein,,,S: Function unknown,0.000479508534091,3.43435948895918
OG0001435,Psychrobacter,D55_vs_B55,1.16269015097448,0.0004801159882317,secB,MULTISPECIES: protein-export chaperone SecB,K03071,Bacterial secretion system;Protein export;Quorum sensing,U: Intracellular trafficking;secretion;and vesicular transport,0.0004801159882317,1.16269015097448
OG0000164,Aequorivita,D55_vs_B55,1.33761201576664,0.0004806062461548,hisC,MULTISPECIES: histidinol-phosphate transaminase,K04720;K00817;K04517;K02225,Metabolic pathways;Porphyrin metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Histidine metabolism;Novobiocin biosynthesis;Phenylalanine metabolism;Phenylalanine;tyrosine and tryptophan biosynthesis;Tropane;piperidine and pyridine alkaloid biosynthesis;Tyrosine metabolism;Biosynthesis of cofactors,E: Amino acid transport and metabolism,0.0004806062461548,1.33761201576664
